Time,Angle,Angular_Velocity
0.0,41.03,-39.74
0.11,33.4,-76.24
0.21,22.76,-106.42
0.31,10.05,-127.1
0.42,-3.51,-135.64
0.52,-16.6,-130.84
0.63,-27.95,-113.47
0.73,-36.54,-86.0
0.84,-41.71,-51.67
0.94,-43.09,-13.75
1.05,-40.61,24.78
1.15,-34.5,61.12
1.25,-25.26,92.34
1.36,-13.72,115.4
1.46,-0.96,127.58
1.57,11.76,127.25
1.67,23.21,114.52
1.78,32.34,91.22
1.88,38.36,60.25
1.98,40.84,24.76
2.09,39.61,-12.24
2.19,34.82,-47.96
2.29,26.86,-79.57
2.4,16.44,-104.17
2.5,4.54,-119.04
2.61,-7.69,-122.3
2.71,-19.04,-113.55
2.82,-28.45,-94.08
2.92,-35.09,-66.36
3.02,-38.43,-33.38
3.13,-38.24,1.88
3.23,-34.57,36.65
3.34,-27.75,68.18
3.44,-18.39,93.67
3.55,-7.34,110.47
3.65,4.31,116.54
3.76,15.43,111.15
3.86,24.94,95.09
3.97,31.98,70.44
4.07,35.98,39.96
4.18,36.63,6.54
4.28,33.93,-27.06
4.38,28.11,-58.16
4.49,19.7,-84.06
4.59,9.49,-102.17
4.7,-1.55,-110.41
4.8,-12.33,-107.78
4.9,-21.8,-94.7
5.01,-29.09,-72.88
5.11,-33.57,-44.82
5.22,-34.9,-13.29
5.32,-33.0,19.0
5.43,-28.06,49.43
5.53,-20.52,75.37
5.63,-11.09,94.32
5.74,-0.67,104.19
5.84,9.71,103.81
